G2_0_1,B1949|B781,B608|B605|B606
G4_2_3,B561|B1646|B1661|B1657|B1659|B608|B1658|B605|B1668|B1647|B1645,B1831|B658|B781
G6_4_5,,B561
G8_6_7,B1673,B687|B1283|B1282|B1279|B686
G10_8_9,B687|B882|B1283|B1665|B1672|B686,
G13_11_12,B1950,
G15_13_14,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,B1842
G17_15_16,B1688,
G19_17_18,B1691|B1689|B1677|B1687|B1842|B1683,B904|B1671|B1547|B884|B1831|B1561|B1282|B796|B1279|B799|B606|B398|B12|B658|B21|B792|B630|B400
G20_10_19,,B882|B710|B800
G23_21_22,B1545|B1552,
G25_23_24,B1554|B1550|B1543|B1546|B1943|B1542,B710
G27_25_26,B561|B1566,B1671|B882|B884|B2005
G29_27_28,,B561|B658
G32_30_31,B657|B2002|B2003|B2007|B2001|B1999,B1671|B882|B884
G35_33_34,B2009|B2016|B2010|B2013|B2012|B2008,B1831|B658
G36_32_35,B2000,B710|B1547|B398|B400
G37_29_36,B1556|B2005|B1558|B1563,B904|B1282|B1279|B606|B762
G38_20_37,B1671|B1547|B1831|B1561,B657|B687|B1283
G41_39_40,,B882|B884
G43_41_42,B738|B713|B741|B805|B1866,B1741|B710
G45_43_44,,B687|B686
G47_45_46,B714|B1868|B740|B686|B716,
G50_48_49,B1960|B1961|B1962|B1959|B1964|B630,B1741|B710|B803
G52_50_51,,B687|B882|B884|B1283|B1282|B1279|B630
G53_47_52,B1741|B793|B817|B810|B803,B904|B606
G54_38_53,B796|B799|B398|B800|B658|B21|B792|B400,B608|B605
G57_55_56,B1597,B657|B510|B658
G59_57_58,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
G61_59_60,B491,B630
G63_61_62,B657|B1578|B658|B1608,B687|B491|B686
G65_63_64,B1602|B1605|B1593|B1594|B2029|B1588|B1601|B1607|B1617|B1603|B1580|B686,B904|B657|B882|B710|B884|B1283|B1282|B1279
G66_54_65,,B1848|B658
G68_66_67,B1848,B1796|B1720|B1766|B647|B645|B2018|B686|B919
G71_69_70,B522,B561|B563
G73_71_72,B955|B1885|B1889|B1877|B1872|B1887|B1882|B990|B1888|B966|B969|B1883|B1884|B992|B1875|B1880|B1873,B1715|B1714|B1720|B888|B1725|B917|B1707|B889|B1722|B522|B1704|B1719|B1705|B1709|B1721|B1708
G75_73_74,B974|B1734|B1714|B976|B973|B963|B983|B917|B993|B978|B1702|B873|B1708,B1312|B911|B1315|B913|B910
G77_75_76,B957|B1735|B998|B1312|B1886|B1722|B1001|B1874|B1721,B1955|B1958
G79_77_78,B1289|B1725|B1315|B1288|B1697|B964,B1796|B1855|B1766|B937|B2023
G82_80_81,B1289|B1877|B1872|B1871|B1869|B1874|B1875|B1288|B1873|B1697,B50|B917|B911|B913
