DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,Annotations presence
COLOR,#2F4F4F
FIELD_LABELS,A0A024R8E5_COL5A1,A0A0S2Z3H5_COL1A2,O43897_TLL1,P00488_F13A1,P00751_CFB,P01024_C3,P01042_KNG1,P01860_IGHG3,P02452_COL1A1,P02458_COL2A1,P02461_COL3A1,P02462_COL4A1,P02647_APOA1,P02652_APOA2,P02749_APOH,P02751_FN1,P02765_AHSG,P02774_GC,P04083_ANXA1,P05997_COL5A2,P06870_KLK1,P07355_ANXA2,P08254_MMP3,P08603_CFH,P08670_VIM,P09382_LGALS1,P09668_CTSH,P0C0L5_C4B,P12107_COL11A1,P12109_COL6A1,P12110_COL6A2,P13497_BMP1,P13928_ANXA8,P13942_COL11A2,P14174_MIF,P20062_TCN2,P20774_OGN,P21810_BGN,P25189_MPZ,P25774_CTSS,P25940_COL5A3,P28799_GRN,P30443_HLAA,P35237_SERPINB6,P47929_LGALS7,P51884_LUM,P62736_ACTA2,P68871_HBB,Q03135_CAV1,Q03167_TGFBR3,Q05707_COL14A1,Q07507_DPT,Q13445_TMED1,Q14624_ITIH4,Q15063_POSTN,Q15084_PDIA6,Q15113_PCOLCE,Q15517_CDSN,Q17RW2_COL24A1,Q5VX71_SUSD4,Q6E0U4_DMKN,Q6NZI2_CAVIN1,Q6ZN18_AEBP2,Q8IZC6_COL27A1,Q8N2C7_UNC80,Q9UI42_CPA4,P78509_RELN,P51888_PRELP,P01034_CST3,P12111_COL6A3,P00451_F8,P04275_VWF,P01023_A2M,P29279_CCN2,P02768_ALB,P02790_HPX,P07585_DCN,P07858_CTSB,Q9UBP4_DKK3,P13611_VCAN,Q7Z417_NUFIP2,P35555_FBN1,P49639_HOXA1,P58215_LOXL3,Q7Z6G3_NECAB2,P16112_ACAN,P49747_COMP,O14672_ADAM10,P07602_PSAP,P07996_THBS1,P0CG39_POTEJ,P10909_CLU,P14625_HSP90B1,P49767_VEGFC,Q12805_EFEMP1,Q14766_LTBP1,Q6UXH8_CCBE1,Q96GW7_BCAN,Q9UHD9_UBQLN2,Q9UHI8_ADAMTS1,O75173_ADAMTS4,P02787_TF,P13727_PRG2,P20151_KLK2,P22304_IDS,P27986_PIK3R1,P29016_CD1B,Q13291_SLAMF1,Q16635_TAFAZZIN,Q16635_TAZ,Q5QGZ9_CLEC12A,Q6UWN0_LYPD4,Q86T26_TMPRSS11B,Q8WWY8_LIPH,Q8WYR1_PIK3R5,Q92187_ST8SIA4,Q93079_H2BC9,Q96GX1_TCTN2,Q99965_ADAM2,Q9NY97_B3GNT2,Q9UK85_DKKL1,Q9UKF2_ADAM30,O00213_APBB1,O94985_CLSTN1,P01135_TGFA,P08572_COL4A2,P24593_IGFBP5,P39060_COL18A1,P98095_FBLN2,P98160_HSPG2,Q08397_LOXL1,Q14767_LTBP2,Q16581_C3AR1,P09238_MMP10,Q14192_FHL2,Q15067_ACOX1,Q6Y288_B3GLCT,Q96DX4_RSPRY1,Q9H6R7_WDCP,A8MQ03_CYSRT1,P01116_KRAS,P0DPK4_NOTCH2NLC,P26371_KRTAP59,P60369_KRTAP103,Q5TD97_FHL5,Q6UY14_ADAMTSL4,Q7Z3S9_NOTCH2NLA,Q13616_CUL1,Q6DD88_ATL3,Q8TE56_ADAMTS17,A0A024R5G1_EFEMP2,A0A024R8K7_ITGB4,A0A024RD55_EGFL9,A5D8T8_CLEC18A,F5H991_US26,O14633_LCE2B,O15162_PLSCR1,O43184_ADAM12,O43559_FRS3,O43597_SPRY2,O43741_PRKAB2,O60336_MAPKBP1,O60504_SORBS3,O60573_EIF4E2,O75716_STK16,O95363_FARS2,O95429_BAG4,O95985_TOP3B,P05107_ITGB2,P09228_CST2,P09681_GIP,P14210_HGF,P16930_FAH,P19320_VCAM1,P20155_SPINK2,P21333_FLNA,P23769_GATA2,P25791_LMO2,P25800_LMO1,P27658_COL8A1,P27918_CFP,P29972_AQP1,P31273_HOXC8,P32242_OTX1,P34130_NTF4,P43115_PTGER3,P51114_FXR1,P60331_KRTAP101,P60370_KRTAP105,P60411_KRTAP109,P60412_KRTAP1011,P68106_FKBP1B,Q02930_CREB5,Q07912_TNK2,Q12756_KIF1A,Q13526_PIN1,Q13643_FHL3,Q14129_DGCR6,Q14689_DIP2A,Q14749_GNMT,Q14764_MVP,Q15560_TCEA2,Q15654_TRIP6,Q17RB8_LONRF1,Q3LI59_KRTAP212,Q3V5L5_MGAT5B,Q5JXC2_MIIP,Q5T5A8_LCE3C,Q5T5B0_LCE3E,Q5T751_LCE1C,Q5T7P3_LCE1B,Q5TA78_LCE4A,Q5TA82_LCE2D,Q6EMK4_VASN,Q6L8G9_KRTAP56,Q6PF18_MORN3,Q6PJG9_LRFN4,Q6RVD6_SPATA8,Q6UY11_DLK2,Q6ZMM2_ADAMTSL5,Q701N4_KRTAP52,Q7L273_KCTD9,Q7Z2X4_PID1,Q7Z3C6_ATG9A,Q86SG6_NEK8,Q86TG1_TMEM150A,Q8IWZ5_TRIM42,Q8IYR0_CFAP206,Q8N6N6_NATD1,Q8NEC5_CATSPER1,Q8NFT6_DBF4B,Q8TAU3_ZNF417,Q8TCE9_LGALS14,Q8WUD1_RAB2B,Q8WV35_LRRC29,Q8WY64_MYLIP,Q92537_SUSD6,Q92922_SMARCC1,Q969U6_FBXW5,Q96F81_DISP1,Q96HA8_NTAQ1,Q96PB7_OLFM3,Q96PM5_RCHY1,Q96PN8_TSSK3,Q96SQ5_ZNF587,Q96SQ9_CYP2S1,Q9BQ66_KRTAP412,Q9BWW8_APOL6,Q9BX59_TAPBPL,Q9BY27_DGCR6L,Q9BYQ2_KRTAP94,Q9BYQ4_KRTAP92,Q9BYQ6_KRTAP411,Q9BYR5_KRTAP42,Q9BZE9_ASPSCR1,Q9GZQ4_NMUR2,Q9H2A7_CXCL16,Q9H4E5_RHOJ,Q9H503_BANF2,Q9H5Z6_FAM124B,Q9HBZ2_ARNT2,Q9NP91_SLC6A20,Q9NRD1_FBXO6,Q9NUL5_SHFL,Q9UBL6_CPNE7,Q9UGJ1_TUBGCP4,Q9UHI7_SLC23A1,Q9UJV3_MID2,Q9ULA0_DNPEP,Q9Y223_GNE,Q9Y3B2_EXOSC1,Q9Y467_SALL2,Q9Y4X0_AMMECR1,Q9Y6H1_CHCHD2,O76003_GLRX3,P0C7H8_KRTAP23,P60328_KRTAP123,P60371_KRTAP106,P60410_KRTAP108,Q07627_KRTAP11,Q6A162_KRT40,Q6L8G8_KRTAP57,Q99750_MDFI,Q9BYR7_KRTAP32,Q9BYR9_KRTAP24,Q07954_LRP1,P11387_TOP1,P50454_SERPINH1,A5PL33_KRBA1,O14628_ZNF195,O15014_ZNF609,O75665_OFD1,P0DPA2_VSIG8,P10071_GLI3,P11142_HSPA8,P42694_HELZ,P54652_HSPA2,P55316_FOXG1,P58340_MLF1,P78560_CRADD,Q13546_RIPK1,Q14865_ARID5B,Q63ZY3_KANK2,Q70EL1_USP54,Q8TCU4_ALMS1,Q92624_APPBP2,Q9UPV0_CEP164,P35556_FBN2,Q9Y4K0_LOXL2,P14618_PKM,P52888_THOP1,Q6ZPD9_DPY19L3,Q8N4N3_KLHL36,Q8TCN5_ZNF507,Q92754_TFAP2C,Q99661_KIF2C,Q9GZT8_NIF3L1,O14594_NCAN,P01834_IGKC,P11021_HSPA5,P78362_SRPK2,P30040_ERP29,P31431_SDC4,P51957_NEK4,Q13424_SNTA1,Q99496_RNF2,B4DJ51_HELS72,O95302_FKBP9,P0DP24_CALM2,P22415_USF1,P35813_PPM1A,P50222_MEOX2,P60660_MYL6,Q02447_SP3,Q15853_USF2,Q7L099_RUFY3,Q8IWV7_UBR1,Q9NRH2_SNRK,A0A024RC70_FURIN,O75339_CILP,O95460_MATN4,P13605_FMOD,P18827_SDC1,P19823_ITIH2,P24821_TNC,P35625_TIMP3,P45452_MMP13,Q8IUL8_CILP2,Q9UNA0_ADAMTS5,O00391_QSOX1,O00468_AGRN,O15354_GPR37,O75629_CREG1,O75976_CPD,O95450_ADAMTS2,O95502_NPTXR,P05019_IGF1,P08476_INHBA,P16870_CPE,P22004_BMP6,P22466_GAL,P25391_LAMA1,P54756_EPHA5,Q04900_CD164,Q08380_LGALS3BP,Q08431_MFGE8,Q68D85_NCR3LG1,Q6ZMP0_THSD4,Q86VR8_FJX1,Q8IWU5_SULF2,Q8IWU6_SULF1,Q8N2S1_LTBP4,Q92520_FAM3C,Q92743_HTRA1,Q9BZL6_PRKD2,Q9NS15_LTBP3,Q9NT22_EMILIN3,Q9NYQ6_CELSR1,Q9R0G6_Q9R0G6,P04183_TK1,P16220_CREB1,P20073_ANXA7,P35914_HMGCL,P38936_CDKN1A,P49716_CEBPD,Q16637_SMN1,Q6DN03_H2BC20P,Q96MU7_YTHDC1,Q99447_PCYT2,Q9UHA4_LAMTOR3,Q5XPI4_RNF123,P10451_SPP1,P48059_LIMS1,Q01094_E2F1,Q8WZA2_RAPGEF4,P01106_MYC,O00462_MANBA,O15232_MATN3,O15315_RAD51B,O43502_RAD51C,O60687_SRPX2,P00738_HP,P01009_SERPINA1,P01011_SERPINA3,P02795_MT2A,P68366_TUBA4A,P98170_XIAP,Q01664_TFAP4,Q01814_ATP2B2,Q05516_ZBTB16,Q12933_TRAF2,Q13490_BIRC2,Q13509_TUBB3,Q15633_TARBP2,Q71U36_TUBA1A,Q7L8W6_DPH6,Q86XX4_FRAS1,Q8N5R6_CCDC33,Q92628_KIAA0232,Q9BY32_ITPA,Q9H4B7_TUBB1,Q9NR09_BIRC6,Q9NXB0_MKS1,Q9UPY3_DICER1,A0A024RAQ9_CSPG2,F1D8T1_NR2A1,O00233_PSMD9,O15496_PLA2G10,O95813_CER1,O96009_NAPSA,P01568_IFNA21,P01569_IFNA5,P08833_IGFBP1,P15514_AREG,P15692_VEGFA,P17931_LGALS3,P32881_IFNA8,P48307_TFPI2,Q0WX57_USP17L24,Q14112_NID2,Q14118_DAG1,Q14574_DSC3,Q6K0P9_PYHIN1,Q8TC07_TBC1D15,Q8TC27_ADAM32,Q99075_HBEGF,Q9BV73_CEP250,Q9BX93_PLA2G12B,Q9H4G0_EPB41L1,Q9UI38_PRSS50
STRIP_WIDTH,2
SHOW_LABELS,0
COLOR_MIN,#FFFFFF
COLOR_MAX,#2986cc
DATA
G426_344_425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G344_308_343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G425_383_424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G308_294_307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G343_341_342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
