G4_2_3,P02790_HPX|Q9UBP4_DKK3,,B561|B1646|B1661|B1657|B1659|B608|B1658|B605|B1668|B1647|B1645,B1831|B658|B781
G8_6_7,P01023_A2M,,B1673,B687|B1283|B1282|B1279|B686
G10_8_9,A0A024RC70_FURIN,,B687|B882|B1283|B1665|B1672|B686,
G13_11_12,P78509_RELN,,B1950,
G15_13_14,P01023_A2M|P02751_FN1|P21810_BGN|P49747_COMP|Q07954_LRP1,,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,B1842
G19_17_18,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1842|B1683,B904|B1671|B1547|B884|B1831|B1561|B1282|B796|B1279|B799|B606|B398|B12|B658|B21|B792|B630|B400
G23_21_22,P10451_SPP1,,B1545|B1552,
G37_29_36,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,B904|B1282|B1279|B606|B762
G53_47_52,,P16112_ACAN,B1741|B793|B817|B810|B803,B904|B606
G59_57_58,O14594_NCAN|O75339_CILP|O95460_MATN4|P13605_FMOD|P18827_SDC1|P19823_ITIH2|P24821_TNC|P35625_TIMP3|P45452_MMP13|P98095_FBLN2|Q8IUL8_CILP2|Q9UNA0_ADAMTS5,,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
G61_59_60,P07585_DCN|P51888_PRELP,,B491,B630
G63_61_62,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B657|B1578|B658|B1608,B687|B491|B686
G65_63_64,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B2029|B1588|B1601|B1607|B1617|B1603|B1580|B686,B904|B657|B882|B710|B884|B1283|B1282|B1279
G71_69_70,Q5XPI4_RNF123,,B522,B561|B563
G75_73_74,P02751_FN1,,B974|B1734|B1714|B976|B973|B963|B983|B917|B993|B978|B1702|B873|B1708,B1312|B911|B1315|B913|B910
G90_88_89,,P16112_ACAN,B1738|B871,B1955|B1720|B1719
G91_79_90,Q07954_LRP1,,B1715|B858|B949|B1958|B888|B946|B1707|B1283|B854|B836|B987|B835|B911|B860|B856|B889|B1704|B398|B913|B820|B1705|B1728|B939|B865|B910|B400,B1852|B1851
G96_68_95,P13611_VCAN|P16112_ACAN,,B773|B781,
G103_101_102,P30040_ERP29|P31431_SDC4|P51957_NEK4|Q13424_SNTA1|Q14766_LTBP1|Q99496_RNF2,,B1864|B919,B1289|B1288|B1697
G114_112_113,P35555_FBN1,,B671|B676|B683|B606|B673|B702|B674,B1283|B1282|B650|B1279|B647|B649|B645|B583|B403
G128_126_127,P14618_PKM|P52888_THOP1|Q6ZPD9_DPY19L3|Q8N4N3_KLHL36|Q8TCN5_ZNF507|Q92754_TFAP2C|Q99661_KIF2C|Q9GZT8_NIF3L1,,B2223|B2233|B2265|B2253|B2222|B2214|B2268|B2257|B2241|B2240|B2255|B2251|B2228|B2254|B2232|B2252,B2363|B1865|B2355|B2365|B2358
G141_139_140,B4DJ51_HELS72|O95302_FKBP9|P0DP24_CALM2|P22415_USF1|P35813_PPM1A|P50222_MEOX2|P60660_MYL6|Q02447_SP3|Q15853_USF2|Q7L099_RUFY3|Q8IWV7_UBR1|Q9NRH2_SNRK,,B1318,B1456|B1460|B1799|B647|B645
G143_141_142,O14594_NCAN,,B1298|B1262|B687|B1249|B1320|B1296|B1287|B1290|B1286|B1299|B1253|B1300|B1260|B1291|B1325|B1336|B1245|B1297,B1796|B1765|B1766
G149_147_148,P01023_A2M,,,B1720|B710|B1766|B919
G152_150_151,P07858_CTSB,,B560|B1919|B1918|B1917,B1460|B647|B645
G154_152_153,A0A024R8E5_COL5A1|A0A0S2Z3H5_COL1A2|P01034_CST3|P02452_COL1A1|P02461_COL3A1|P02751_FN1|P05997_COL5A2|P12111_COL6A3|P30443_HLAA,,B1450|B1454|B1444|B1436|B1287|B1426|B1470|B1290|B1286|B1453|B1455|B1443|B1433|B1451|B1435|B1430,B1456|B687|B1810|B560|B605|B1811|B606|B1808|B686|B692
G160_158_159,P01023_A2M,,B1923|B1431|B1921|B1924|B1432,B1796|B647
