gene,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
NP008919.3_9606_0,A0A024RAQ9_CSPG2|F1D8T1_NR2A1|O00233_PSMD9|O15496_PLA2G10|O95813_CER1|O96009_NAPSA|P01135_TGFA|P01568_IFNA21|P01569_IFNA5|P08833_IGFBP1|P13727_PRG2|P15514_AREG|P15692_VEGFA|P17931_LGALS3|P20151_KLK2|P31431_SDC4|P32881_IFNA8|P48307_TFPI2|P60410_KRTAP108|Q0WX57_USP17L24|Q14112_NID2|Q14118_DAG1|Q14574_DSC3|Q6A162_KRT40|Q6K0P9_PYHIN1|Q8TC07_TBC1D15|Q8TC27_ADAM32|Q99075_HBEGF|Q9BV73_CEP250|Q9BX93_PLA2G12B|Q9H4G0_EPB41L1|Q9UI38_PRSS50,,,B904|B1657|B1658|B1645
NP001094550.1_9913_1,,P02790_HPX|Q9UBP4_DKK3,,B882|B884|B1647
NP033751.3_10090_3,,P02790_HPX|Q9UBP4_DKK3,B781,B904|B882|B884
G4_2_3,P02790_HPX|Q9UBP4_DKK3,,B561|B1646|B1661|B1657|B1659|B608|B1658|B605|B1668|B1647|B1645,B1831|B658|B781
XP015154663.2_9031_5,,P01023_A2M,B561|B657,B904|B1671|B882|B884|B606
NP001120905.1_8364_7,,A0A024RC70_FURIN|P01023_A2M,,B904|B1831|B606|B658
G8_6_7,P01023_A2M,,B1673,B687|B1283|B1282|B1279|B686
XP021331598.1_7955_9,,A0A024RC70_FURIN|P16112_ACAN,,B904|B1671|B1831|B606|B658
G10_8_9,A0A024RC70_FURIN,,B687|B882|B1283|B1665|B1672|B686,
NP005090.3_9606_11,O00462_MANBA|O14594_NCAN|O15232_MATN3|O15315_RAD51B|O43502_RAD51C|O60687_SRPX2|O75173_ADAMTS4|O95450_ADAMTS2|P00738_HP|P01009_SERPINA1|P01011_SERPINA3|P02795_MT2A|P07585_DCN|P35625_TIMP3|P68366_TUBA4A|P98095_FBLN2|P98170_XIAP|Q01664_TFAP4|Q01814_ATP2B2|Q05516_ZBTB16|Q12933_TRAF2|Q13490_BIRC2|Q13509_TUBB3|Q15633_TARBP2|Q71U36_TUBA1A|Q7L8W6_DPH6|Q86XX4_FRAS1|Q8N5R6_CCDC33|Q92628_KIAA0232|Q96GW7_BCAN|Q96MU7_YTHDC1|Q9BY32_ITPA|Q9H4B7_TUBB1|Q9NR09_BIRC6|Q9NXB0_MKS1|Q9UPY3_DICER1|Q9Y4K0_LOXL2,,,
NP858053.1_9913_12,,P02751_FN1|P78509_RELN,,
G13_11_12,P78509_RELN,,B1950,
NP766433.2_10090_14,,P02751_FN1,,
G15_13_14,P01023_A2M|P02751_FN1|P21810_BGN|P49747_COMP|Q07954_LRP1,,B1693|B1675|B1678|B1497|B1674|B1496|B1692|B1676,B1842
XP015135540.3_9031_16,,A0A024RC70_FURIN|P16112_ACAN,,B1677|B1683|B436
XP004919795.1_8364_18,,A0A024RC70_FURIN,,
G19_17_18,A0A024RC70_FURIN,,B1691|B1689|B1677|B1687|B1842|B1683,B904|B1671|B1547|B884|B1831|B1561|B1282|B796|B1279|B799|B606|B398|B12|B658|B21|B792|B630|B400
NP038934.2_10090_21,,P10451_SPP1,,B1831|B1943
G23_21_22,P10451_SPP1,,B1545|B1552,
G37_29_36,,P13611_VCAN|P16112_ACAN,B1556|B2005|B1558|B1563,B904|B1282|B1279|B606|B762
NP620686.1_9606_40,Q5XPI4_RNF123,,,B657|B658|B810
G53_47_52,,P16112_ACAN,B1741|B793|B817|B810|B803,B904|B606
NP035912.2_10090_55,,P98095_FBLN2,B510,B2029|B1945|B1944
NP008969.2_9606_56,P02787_TF|P10909_CLU|Q96GW7_BCAN,,B510,B608|B605|B606
NP001159987.1_9913_58,,P98095_FBLN2,,B608|B2029|B605|B606
G59_57_58,O14594_NCAN|O75339_CILP|O95460_MATN4|P13605_FMOD|P18827_SDC1|P19823_ITIH2|P24821_TNC|P35625_TIMP3|P45452_MMP13|P98095_FBLN2|Q8IUL8_CILP2|Q9UNA0_ADAMTS5,,B1583|B1595|B1610|B1945|B1575|B1577|B1598|B1944|B1591|B1592,
XP425541.6_9031_60,,P02751_FN1|P07585_DCN|P51888_PRELP|P78509_RELN,,B1593|B608|B2029|B1578|B605|B606
G61_59_60,P07585_DCN|P51888_PRELP,,B491,B630
XP002935740.1_8364_62,,P01023_A2M|P02461_COL3A1|P02751_FN1|P78509_RELN,B491,B657|B1593|B608|B2029|B605|B606|B658
G63_61_62,P02458_COL2A1|P02461_COL3A1|P02751_FN1|P21810_BGN|P78509_RELN,,B657|B1578|B658|B1608,B687|B491|B686
NP001289160.1_7955_64,,P01023_A2M|Q07954_LRP1,,B608|B2029|B605|B606|B630
G65_63_64,P01023_A2M|Q07954_LRP1,,B1602|B1605|B1593|B1594|B2029|B1588|B1601|B1607|B1617|B1603|B1580|B686,B904|B657|B882|B710|B884|B1283|B1282|B1279
XP002121984.1_7719_67,,P16112_ACAN,,B904|B687|B608|B882|B710|B884|B527|B605|B1279|B606|B436|B630
