id,modules_composition
,
G426_344_425,
G344_308_343,B499|B657|B1384|B1068|B510|B884|B563|B519|B560|B522|B527|B605|B491|B467|B444|B606|B645|B509|B658|B21|B456|B630|B433
G425_383_424,B50|B62|B75
G308_294_307,B904|B499|B657|B1384|B50|B477|B1068|B510|B884|B563|B1283|B1765|B519|B560|B1766|B522|B527|B605|B491|B1282|B467|B1279|B444|B606|B645|B1845|B509|B658|B21|B479|B456|B476|B630|B433
G343_341_342,B561|B1377|B499|B657|B1384|B50|B882|B1068|B510|B884|B563|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B605|B491|B1379|B1371|B467|B444|B1406|B606|B645|B1383|B509|B658|B21|B456|B431|B630|B433
G383_363_382,B50|B144|B178|B233|B157|B62|B75
G424_384_423,B70|B50|B112|B58|B69|B113|B78|B12|B344|B338|B39|B62|B75|B77
G294_212_293,B1796|B904|B499|B657|B687|B608|B1384|B477|B710|B1068|B510|B884|B563|B1283|B1765|B519|B560|B1766|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B645|B1845|B557|B509|B658|B21|B479|B456|B476|B1859|B583|B1860|B630|B692|B433|B547|B919
G307_303_306,B561|B904|B499|B1147|B1188|B50|B1152|B477|B1156|B1126|B882|B1130|B1148|B1139|B510|B884|B1754|B563|B1283|B1765|B1205|B519|B560|B1766|B522|B527|B491|B1282|B1133|B1978|B1279|B444|B1845|B509|B479|B456|B476|B1899|B1174|B1127|B1145|B1980|B630|B1194|B1176|B1137
G341_329_340,B561|B1404|B1340|B1378|B1350|B1391|B1377|B499|B657|B1360|B1384|B50|B1380|B1492|B882|B1407|B1415|B1399|B1068|B510|B884|B563|B1341|B1394|B1362|B1359|B1312|B519|B560|B1381|B522|B527|B1373|B605|B491|B1379|B1371|B1349|B467|B1393|B444|B1406|B1403|B606|B645|B1383|B509|B658|B21|B456|B1374|B1483|B431|B1390|B630|B1637|B1409|B433
XP018671182.1_7719_342,B561|B1377|B499|B1384|B50|B882|B510|B884|B563|B1359|B1312|B519|B560|B1381|B1373|B491|B1379|B1371|B467|B1406|B1383|B509|B21|B431|B630|B433
G363_361_362,B50|B187|B144|B178|B186|B233|B157|B62|B75
G382_378_381,B245|B259|B50|B222|B250|B229|B144|B178|B211|B232|B261|B249|B233|B157|B225|B257|B62|B227
XP026692986.1_7719_384,B70|B50|B112|B58|B69|B113|B78|B12|B344|B338|B39|B62|B77
G423_387_422,B70|B50|B112|B58|B69|B82|B113|B90|B88|B78|B12|B21|B344|B338|B39|B62|B75|B77
G212_190_211,B1796|B904|B499|B657|B687|B608|B50|B477|B1992|B710|B1725|B510|B884|B563|B1283|B1765|B442|B519|B560|B522|B527|B605|B491|B1282|B467|B1279|B647|B444|B606|B1865|B645|B1845|B557|B509|B12|B658|B21|B479|B456|B476|B1859|B583|B1860|B630|B692|B433|B547|B919
G293_253_292,B1796|B1732|B904|B657|B687|B608|B1384|B710|B1068|B510|B884|B563|B1283|B1765|B519|B560|B1766|B522|B527|B605|B1282|B1279|B647|B606|B645|B1845|B557|B509|B658|B1859|B583|B1860|B585|B630|B692|B547|B919
G303_301_302,B561|B1151|B499|B1147|B1186|B1188|B50|B1152|B1200|B477|B1156|B1168|B1126|B882|B1130|B1148|B1139|B510|B884|B1754|B563|B1177|B1283|B1770|B1765|B1205|B519|B1149|B560|B1766|B1195|B522|B527|B491|B1282|B1133|B1978|B1279|B444|B1845|B509|B479|B456|B1125|B476|B1899|B1174|B2024|B1127|B1145|B1155|B1980|B630|B1194|B1755|B1176|B1137
G306_304_305,B561|B1976|B904|B1989|B499|B1970|B1972|B1986|B1147|B1188|B50|B1152|B477|B1979|B1126|B882|B1130|B1148|B1983|B1139|B510|B1754|B1969|B563|B1984|B1205|B519|B1981|B560|B1987|B522|B527|B491|B1133|B1978|B444|B509|B456|B476|B1899|B1127|B1145|B1975|B1980|B630|B1194|B1974|B1137
