DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Modules number
COLOR,#00FF00
WIDTH,500
SHOW_VALUE,1
DATA
G426_344_425,0
G344_308_343,23
G425_383_424,3
G308_294_307,34
G343_341_342,36
G383_363_382,7
G424_384_423,14
G294_212_293,45
G307_303_306,46
G341_329_340,58
XP018671182.1_7719_342,26
G363_361_362,9
G382_378_381,18
XP026692986.1_7719_384,13
G423_387_422,18
G212_190_211,48
G293_253_292,37
G303_301_302,57
G306_304_305,48
G329_319_328,56
G340_338_339,57
G361_359_360,16
NP509318.1_6239_362,5
G378_376_377,25
G381_379_380,19
G387_385_386,17
G422_388_421,19
G190_166_189,55
G211_201_210,48
G253_239_252,30
G292_276_291,34
G301_299_300,60
XP031747422.1_8364_302,49
XP002663267.4_7955_304,48
XP021327811.1_7955_305,48
G319_317_318,59
G328_326_327,56
G338_336_337,57
XP017214092.1_7955_339,52
G359_357_358,20
NP733334.1_7227_360,14
G376_372_375,35
XP002127224.2_7719_377,22
NP492377.1_6239_379,16
NP477187.1_7227_380,17
NP510291.1_6239_385,13
NP001027575.1_7227_386,15
XP002129509.1_7719_388,16
G421_403_420,20
G166_138_165,57
G189_187_188,54
G201_199_200,57
G210_208_209,57
G239_237_238,24
G252_250_251,34
G276_274_275,40
G291_289_290,18
G299_297_298,65
XP040505337.1_9031_300,49
G317_315_316,61
XP021331662.1_7955_318,56
G326_324_325,59
XP012815203.2_8364_327,54
G336_334_335,58
XP031762102.1_8364_337,54
G357_353_356,32
XP002122475.1_7719_358,15
G372_370_371,37
G375_373_374,35
G403_401_402,27
G420_406_419,25
G138_98_137,53
G165_163_164,51
G187_177_186,69
XP018673460.1_7719_188,34
G199_197_198,52
XP021333385.1_7955_200,44
G208_206_207,63
XP031748801.1_8364_209,50
G237_235_236,25
NP609406.2_7227_238,14
G250_248_249,43
NP505017.1_6239_251,25
G274_264_273,72
XP026689948.1_7719_275,21
G289_285_288,25
XP018667203.1_7719_290,17
G297_295_296,66
XP024855422.1_9913_298,56
G315_313_314,62
XP012810820.2_8364_316,54
G324_322_323,63
XP040503121.1_9031_325,59
G334_332_333,67
XP004942102.1_9031_335,54
G353_351_352,36
G356_354_355,32
G370_368_369,37
NP001037869.1_8364_371,37
XP021326233.1_7955_373,27
XP005168953.1_7955_374,35
G401_397_400,31
NP001107911.1_7955_402,25
G406_404_405,30
G419_409_418,29
G98_96_97,47
G137_123_136,49
G163_161_162,60
NP572247.2_7227_164,27
G177_175_176,70
G186_184_185,65
G197_195_196,55
XP004912721.1_8364_198,46
G206_204_205,73
XP413968.4_9031_207,56
G235_225_234,33
XP018667344.1_7719_236,10
G248_246_247,53
XP021332354.1_7955_249,37
G264_262_263,83
G273_271_272,74
G285_283_284,24
G288_286_287,25
NP001001322.1_10090_295,57
NP620594.1_9606_296,65
G313_311_312,70
XP040555677.1_9031_314,56
G322_320_321,63
NP783574.1_10090_323,63
G332_330_331,64
NP001074596.1_10090_333,60
G351_349_350,38
XP031757449.1_8364_352,35
XP005158775.1_7955_354,29
XP021324312.1_7955_355,32
G368_366_367,39
NP989592.2_9031_369,38
G397_395_396,38
G400_398_399,32
XP005172418.1_7955_404,28
XP012819411.2_8364_405,30
G409_407_408,30
G418_410_417,33
G96_68_95,49
NP996218.1_7227_97,21
G123_121_122,52
G136_134_135,33
G161_149_160,77
XP002121766.2_7719_162,46
G175_173_174,73
XP009301678.1_7955_176,61
G184_182_183,64
XP001922446.3_7955_185,55
G195_193_194,54
XP015147746.2_9031_196,48
G204_202_203,68
NP001193043.1_9913_205,64
G225_221_224,39
G234_232_233,39
G246_244_245,58
XP031747432.1_8364_247,43
G262_260_261,82
XP003198947.4_7955_263,49
G271_269_270,84
XP012808484.1_8364_272,53
G283_281_282,20
XP031760531.1_8364_284,23
XP005166548.1_7955_286,23
XP002932288.1_8364_287,23
G311_309_310,71
NP055058.2_9606_312,64
NP055059.2_9606_320,63
NP777056.1_9913_321,62
NP631894.2_9606_330,64
XP005226419.1_9913_331,65
G349_347_348,40
NP001008682.1_9031_350,38
G366_364_365,39
NP776921.1_9913_367,39
G395_393_394,40
NP001233130.1_8364_396,37
XP004915886.2_8364_398,26
XP004942396.4_9031_399,32
XP021323120.1_7955_407,30
XP021336100.1_7955_408,27
NP001035103.1_8364_410,33
G417_411_416,36
G68_66_67,42
G95_93_94,54
G121_109_120,67
XP002127703.2_7719_122,42
G134_132_133,42
XP002121111.1_7719_135,25
G149_147_148,73
G160_158_159,80
G173_171_172,74
XP012817732.1_8364_174,58
G182_180_181,61
XP031760055.1_8364_183,58
G193_191_192,54
XP006540908.1_10090_194,39
XP006525982.1_10090_202,60
NP598377.4_9606_203,62
G221_219_220,52
G224_222_223,32
G232_230_231,40
XP021322467.1_7955_233,31
G244_242_243,60
XP004946005.4_9031_245,40
G260_258_259,84
XP012814972.2_8364_261,56
G269_267_268,90
XP004949181.2_9031_270,60
G281_279_280,25
XP015155455.2_9031_282,19
NP808540.2_10090_309,62
NP001179726.1_9913_310,64
G347_345_346,40
NP003174.3_9606_348,40
NP031425.2_10090_364,39
NP001101.1_9606_365,39
G393_391_392,49
XP024998550.2_9031_394,40
XP040558417.1_9031_411,34
G416_412_415,42
G66_54_65,40
XP002121984.1_7719_67,30
G93_91_92,70
NP001255448.1_6239_94,44
G109_107_108,68
G120_118_119,72
G132_130_131,50
XP005169942.1_7955_133,34
G147_145_146,78
XP021332071.1_7955_148,58
G158_156_157,81
XP021333676.1_7955_159,52
G171_169_170,77
XP015148002.3_9031_172,65
G180_178_179,62
XP024837310.1_9913_181,60
XP016877462.1_9606_191,51
XP024838029.1_9913_192,50
G219_217_218,52
XP017947904.2_8364_220,49
XP017211532.2_7955_222,32
XP021331991.1_7955_223,32
G230_228_229,47
XP002935503.2_8364_231,40
G242_240_241,56
NP001192863.2_9913_243,42
G258_256_257,99
XP004943881.2_9031_259,44
G267_265_266,90
XP024851836.1_9913_268,63
G279_277_278,25
XP024850913.1_9913_280,25
NP001264195.1_10090_345,40
XP002691532.1_9913_346,40
G391_389_390,50
NP001179747.2_9913_392,49
NP031426.2_10090_412,41
G415_413_414,47
G54_38_53,46
G65_63_64,44
G91_79_90,94
XP026694849.1_7719_92,56
G107_105_106,71
XP017213499.1_7955_108,57
G118_116_117,74
NP001116746.1_7955_119,56
G130_128_129,53
XP004917291.1_8364_131,42
G145_143_144,80
XP017946319.2_8364_146,58
G156_154_155,87
XP002933006.3_8364_157,59
G169_167_168,72
NP001179415.2_9913_170,66
NP742050.2_10090_178,59
NP620687.2_9606_179,61
G217_215_216,51
XP025009773.2_9031_218,49
G228_226_227,53
NP001288634.1_10090_229,47
NP084257.1_10090_240,49
XP011517543.2_9606_241,32
G256_254_255,89
XP024838113.1_9913_257,69
XP006538438.1_10090_265,57
XP011516365.1_9606_266,62
XP011241828.1_10090_277,24
XP011526263.1_9606_278,25
NP001257925.1_10090_389,48
XP016869431.1_9606_390,50
NP003465.3_9606_413,47
NP001001156.1_9913_414,47
G38_20_37,47
G53_47_52,49
G63_61_62,45
NP001289160.1_7955_64,39
G79_77_78,95
G90_88_89,93
G105_103_104,70
XP002934253.2_8364_106,58
G116_114_115,70
XP004911053.2_8364_117,56
G128_126_127,64
XP004941721.2_9031_129,47
G143_141_142,95
XP003643023.3_9031_144,57
G154_152_153,93
XP003641878.3_9031_155,66
XP006530858.1_10090_167,68
NP955387.1_9606_168,68
G215_213_214,58
NP001071498.1_9913_216,10
XP011507946.1_9606_226,53
NP001094531.1_9913_227,53
NP001177303.1_10090_254,66
XP011520124.1_9606_255,51
G20_10_19,44
G37_29_36,46
G47_45_46,54
G52_50_51,42
G61_59_60,45
XP002935740.1_8364_62,39
G77_75_76,102
NP001244125.1_7955_78,52
G88_86_87,90
XP017210006.1_7955_89,52
G103_101_102,69
XP025000716.1_9031_104,65
G114_112_113,68
NP001376576.1_9031_115,59
G126_124_125,68
NP001192272.1_10090_127,60
G141_139_140,91
NP001179538.1_9913_142,80
G152_150_151,94
NP001313280.1_10090_153,80
NP001035516.2_10090_213,48
NP001381461.1_9606_214,54
G10_8_9,50
G19_17_18,32
G29_27_28,44
G36_32_35,43
G45_43_44,52
XP012822382.1_8364_46,43
G50_48_49,45
NP001119901.1_7955_51,41
