gene,leaf,function(s)_win,function(s)_lost,module(s)_win,module(s)_lost
NP008919.3_9606_0,NP008919.3_9606_0,A0A024RAQ9_CSPG2|F1D8T1_NR2A1|O00233_PSMD9|O15496_PLA2G10|O95813_CER1|O96009_NAPSA|P01135_TGFA|P01568_IFNA21|P01569_IFNA5|P08833_IGFBP1|P13727_PRG2|P15514_AREG|P15692_VEGFA|P17931_LGALS3|P20151_KLK2|P31431_SDC4|P32881_IFNA8|P48307_TFPI2|P60410_KRTAP108|Q0WX57_USP17L24|Q14112_NID2|Q14118_DAG1|Q14574_DSC3|Q6A162_KRT40|Q6K0P9_PYHIN1|Q8TC07_TBC1D15|Q8TC27_ADAM32|Q99075_HBEGF|Q9BV73_CEP250|Q9BX93_PLA2G12B|Q9H4G0_EPB41L1|Q9UI38_PRSS50,,,
NP001094550.1_9913_1,NP001094550.1_9913_1,,P02790_HPX|Q9UBP4_DKK3,,
G2_0_1,NP008919.3_9606_0,,,B1949|B781,
G2_0_1,NP001094550.1_9913_1,,,B1949|B781,
NP033751.3_10090_3,NP033751.3_10090_3,,P02790_HPX|Q9UBP4_DKK3,B781,
G4_2_3,NP008919.3_9606_0,P02790_HPX|Q9UBP4_DKK3,,B561|B1646|B1661|B1659|B1668|B1647,B781
G4_2_3,NP001094550.1_9913_1,P02790_HPX|Q9UBP4_DKK3,,B561|B1646|B1661|B1657|B1659|B1658|B1668|B1645,B781
G4_2_3,NP033751.3_10090_3,P02790_HPX|Q9UBP4_DKK3,,B561|B1646|B1661|B1657|B1659|B608|B1658|B605|B1668|B1647|B1645,B781
XP015154663.2_9031_5,XP015154663.2_9031_5,,P01023_A2M,B561|B657,
G6_4_5,NP008919.3_9606_0,,,,B561
G6_4_5,NP001094550.1_9913_1,,,,B561
G6_4_5,NP033751.3_10090_3,,,,B561
G6_4_5,XP015154663.2_9031_5,,,,B561
NP001120905.1_8364_7,NP001120905.1_8364_7,,A0A024RC70_FURIN|P01023_A2M,,
G8_6_7,NP008919.3_9606_0,P01023_A2M,,B1673,
G8_6_7,NP001094550.1_9913_1,P01023_A2M,,B1673,
G8_6_7,NP033751.3_10090_3,P01023_A2M,,B1673,
G8_6_7,XP015154663.2_9031_5,P01023_A2M,,B1673,
G8_6_7,NP001120905.1_8364_7,P01023_A2M,,B1673,
XP021331598.1_7955_9,XP021331598.1_7955_9,,A0A024RC70_FURIN|P16112_ACAN,,
G10_8_9,NP008919.3_9606_0,A0A024RC70_FURIN,,B882|B1665|B1672,
G10_8_9,NP001094550.1_9913_1,A0A024RC70_FURIN,,B1665|B1672,
G10_8_9,NP033751.3_10090_3,A0A024RC70_FURIN,,B1665|B1672,
G10_8_9,XP015154663.2_9031_5,A0A024RC70_FURIN,,B1665|B1672,
G10_8_9,NP001120905.1_8364_7,A0A024RC70_FURIN,,B882|B1665|B1672,
G10_8_9,XP021331598.1_7955_9,A0A024RC70_FURIN,,B687|B882|B1283|B1665|B1672|B686,
